Código área de residencia;Nombre área de residencia;Código área de destino;Nombre área de destino;Flujo origen-destino (nº de personas)
44GR;Chauchina;57GR;Peligros;21
44GR;Chauchina;58GR;Pinos Puente;55
44GR;Chauchina;61GR;Santa Fe;96
44GR;Chauchina;65GR;Granada (distrito 01);21
44GR;Chauchina;66GR;Granada (distrito 02);32
44GR;Chauchina;67GR;Granada (distrito 03);66
44GR;Chauchina;69GR;Granada (distrito 07);32
44GR;Chauchina;OTRO;OTROS DESTINOS;568
44JA;Úbeda;01JA;Linares (distritos 02 y 03);33
44JA;Úbeda;02JA;Linares (distritos 01 y 08) y Torreblascopedro;123
44JA;Úbeda;07JA;Guarromán y otros municipios;46
44JA;Úbeda;10JA;Vilches y Santa Elena;58
44JA;Úbeda;11JA;Begíjar y otros municipios;54
44JA;Úbeda;12JA;Rus y Canena;93
44JA;Úbeda;13JA;Torreperogil y Sabiote;359
44JA;Úbeda;14JA;Navas de San Juan y Arquillos;51
44JA;Úbeda;16JA;Villanueva del Arzobispo e Iznatoraf;83
44JA;Úbeda;19JA;Arroyo del Ojanco y otros municipios;31
44JA;Úbeda;21JA;Santiago-Pontones y otros municipios;162
44JA;Úbeda;24JA;Quesada y Larva;51
44JA;Úbeda;25JA;Bedmar y Garcíez y otros municipios;78
44JA;Úbeda;35JA;Baeza;489
44JA;Úbeda;38GR;Armilla;25
44JA;Úbeda;38JA;Cazorla;128
44JA;Úbeda;40JA;Jódar;186
44JA;Úbeda;41JA;Mancha Real;41
44JA;Úbeda;42JA;Peal de Becerro;37
44JA;Úbeda;44JA;Úbeda;24.860
44JA;Úbeda;45JA;Villacarrillo;69
44JA;Úbeda;50JA;Jaén (distrito 03);27
44JA;Úbeda;51JA;Jaén (distrito 04);99
44JA;Úbeda;52JA;Jaén (distrito 05);22
44JA;Úbeda;OTRO;OTROS DESTINOS;1.077
44LE;León (distrito 03);04LE;Robla, La y Pola de Gordón, La;94
44LE;León (distrito 03);05LE;Sariegos y otros municipios;159
44LE;León (distrito 03);06LE;León (distritos 08 y 09);278
44LE;León (distrito 03);07LE;Valdefresno y otros municipios;163
44LE;León (distrito 03);08LE;Chozas de Abajo y otros municipios;181
44LE;León (distrito 03);09LE;Valderrueda y otros municipios;30
44LE;León (distrito 03);11LE;Boñar y otros municipios;102
44LE;León (distrito 03);12LE;Mansilla de las Mulas y otros municipios;56
44LE;León (distrito 03);14LE;Santas Martas y otros municipios;46
44LE;León (distrito 03);16LE;Villamañán y otros municipios;40
44LE;León (distrito 03);19LE;Carrizo y otros municipios;100
44LE;León (distrito 03);20LE;Llamas de la Ribera y otros municipios;97
44LE;León (distrito 03);21LE;Benavides y otros municipios;28
44LE;León (distrito 03);23AS;Gozón;24
44LE;León (distrito 03);26LE;Torre del Bierzo y otros municipios;25
44LE;León (distrito 03);32LE;Astorga;48
44LE;León (distrito 03);36LE;San Andrés del Rabanedo;662
44LE;León (distrito 03);37LE;Valverde de la Virgen;59
44LE;León (distrito 03);39AS;Villaviciosa;27
44LE;León (distrito 03);41LE;Villaquilambre;572
44LE;León (distrito 03);42LE;León (distrito 01);220
44LE;León (distrito 03);43LE;León (distrito 02);542
44LE;León (distrito 03);44LE;León (distrito 03);15.460
44LE;León (distrito 03);45LE;León (distrito 04);502
44LE;León (distrito 03);46LE;León (distrito 05);122
44LE;León (distrito 03);47LE;León (distrito 06);275
44LE;León (distrito 03);48LE;León (distrito 07);553
44LE;León (distrito 03);49LE;León (distrito 10);108
44LE;León (distrito 03);OTRO;OTROS DESTINOS;899
44LL;Tàrrega;11LL;Ponts y otros municipios;84
44LL;Tàrrega;12LL;Sant Guim de Freixenet y otros municipios;336
44LL;Tàrrega;23LL;Arbeca y otros municipios;29
44LL;Tàrrega;24LL;Golmés y otros municipios;36
44LL;Tàrrega;26LL;Ivars d'Urgell y otros municipios;272
44LL;Tàrrega;33LL;Agramunt;54
44LL;Tàrrega;37LL;Bellpuig;69
44LL;Tàrrega;39LL;Cervera;128
44LL;Tàrrega;40LL;Guissona;131
44LL;Tàrrega;41LL;Mollerussa;60
44LL;Tàrrega;44LL;Tàrrega;11.227
44LL;Tàrrega;OTRO;OTROS DESTINOS;1.046
44MA;Estepona (distrito 02);01MA;Cortes de la Frontera y otros municipios;30
44MA;Estepona (distrito 02);30MA;Benahavís;141
44MA;Estepona (distrito 02);33MA;Casares;134
44MA;Estepona (distrito 02);35MA;Manilva;196
44MA;Estepona (distrito 02);43MA;Estepona (distrito 01);2.563
44MA;Estepona (distrito 02);44MA;Estepona (distrito 02);11.249
44MA;Estepona (distrito 02);45MA;Estepona (distrito 03);1.438
44MA;Estepona (distrito 02);49MA;Marbella (distrito 01);126
44MA;Estepona (distrito 02);50MA;Marbella (distrito 02);215
44MA;Estepona (distrito 02);51MA;Marbella (distrito 03);364
44MA;Estepona (distrito 02);52MA;Marbella (distrito 04);114
44MA;Estepona (distrito 02);66CZ;San Roque;172
44MA;Estepona (distrito 02);OTRO;OTROS DESTINOS;625
44MU;Cartagena (distrito 06);065A;Pilar de la Horadada;36
44MU;Cartagena (distrito 06);06MU;Alcantarilla;18
44MU;Cartagena (distrito 06);091A;Orihuela (distrito 05);36
44MU;Cartagena (distrito 06);20MU;Fuente Álamo de Murcia;26
44MU;Cartagena (distrito 06);30MU;San Javier;732
44MU;Cartagena (distrito 06);31MU;San Pedro del Pinatar;93
44MU;Cartagena (distrito 06);32MU;Torre-Pacheco;114
44MU;Cartagena (distrito 06);35MU;Unión, La;140
44MU;Cartagena (distrito 06);38MU;Alcázares, Los;146
44MU;Cartagena (distrito 06);39MU;Cartagena (distrito 01);51
44MU;Cartagena (distrito 06);40MU;Cartagena (distrito 02);113
44MU;Cartagena (distrito 06);41MU;Cartagena (distrito 03);180
44MU;Cartagena (distrito 06);42MU;Cartagena (distrito 04);20
44MU;Cartagena (distrito 06);43MU;Cartagena (distrito 05);220
44MU;Cartagena (distrito 06);44MU;Cartagena (distrito 06);12.490
44MU;Cartagena (distrito 06);45MU;Cartagena (distrito 07);153
44MU;Cartagena (distrito 06);46MU;Cartagena (distrito 08);176
44MU;Cartagena (distrito 06);47MU;Cartagena (distrito 09);31
44MU;Cartagena (distrito 06);48MU;Cartagena (distrito 10);157
44MU;Cartagena (distrito 06);51MU;Murcia (SCD Number 1-A);25
44MU;Cartagena (distrito 06);52MU;Murcia (SCD Number 1-B);28
44MU;Cartagena (distrito 06);54Mu;Murcia (SCD Number 2-B);26
44MU;Cartagena (distrito 06);59MU;Murcia (SCD Number 4-C);38
44MU;Cartagena (distrito 06);61MU;Murcia (SCD Number 5-B);35
44MU;Cartagena (distrito 06);66MU;Murcia (SCD Number 8);35
44MU;Cartagena (distrito 06);OTRO;OTROS DESTINOS;475
44NA;Corella;16LO;Alfaro;191
44NA;Corella;32NA;Azagra y Funes;45
44NA;Corella;34NA;Valtierra y otros municipios;92
44NA;Corella;35NA;Cintruénigo y Fitero;189
44NA;Corella;36NA;Murchante y otros municipios;22
44NA;Corella;44NA;Corella;4.998
44NA;Corella;53NA;Tudela;222
44NA;Corella;OTRO;OTROS DESTINOS;741
44PO;Vilagarcía de Arousa;04PO;Valga y Catoira;162
44PO;Vilagarcía de Arousa;05CÑ;Rois y otros municipios;31
44PO;Vilagarcía de Arousa;05PO;Moraña y Portas;72
44PO;Vilagarcía de Arousa;06PO;Barro y Pontevedra (distrito 06);38
44PO;Vilagarcía de Arousa;07CÑ;Santiago de Compostela (distrito 06) y Trazo;21
44PO;Vilagarcía de Arousa;14PO;Caldas de Reis;245
44PO;Vilagarcía de Arousa;15PO;Cambados;316
44PO;Vilagarcía de Arousa;20PO;Grove, O;120
44PO;Vilagarcía de Arousa;23PO;Marín;20
44PO;Vilagarcía de Arousa;24PO;Meaño;77
44PO;Vilagarcía de Arousa;25PO;Meis;150
44PO;Vilagarcía de Arousa;28CÑ;Boiro;225
44PO;Vilagarcía de Arousa;30PO;Poio;54
44PO;Vilagarcía de Arousa;35PO;Ribadumia;157
44PO;Vilagarcía de Arousa;39PO;Sanxenxo;100
44PO;Vilagarcía de Arousa;41CÑ;Coruña, A (distrito 07);23
44PO;Vilagarcía de Arousa;41PO;Tui;64
44PO;Vilagarcía de Arousa;44PO;Vilagarcía de Arousa;25.672
44PO;Vilagarcía de Arousa;45PO;Vilanova de Arousa;475
44PO;Vilagarcía de Arousa;46PO;Illa de Arousa, A;226
44PO;Vilagarcía de Arousa;47PO;Pontevedra (distrito 01);95
44PO;Vilagarcía de Arousa;48PO;Pontevedra (distrito 02);135
44PO;Vilagarcía de Arousa;49PO;Pontevedra (distrito 03);19
44PO;Vilagarcía de Arousa;50PO;Pontevedra (distrito 04);68
44PO;Vilagarcía de Arousa;51PO;Pontevedra (distrito 05);25
44PO;Vilagarcía de Arousa;52PO;Vigo (SCD Vigo centro 1);23
44PO;Vilagarcía de Arousa;53PO;Vigo (SCD Vigo centro 2);23
44PO;Vilagarcía de Arousa;61PO;Vigo (SCD Distrito 7-zona Lavadores);22
44PO;Vilagarcía de Arousa;66CÑ;Padrón;50
44PO;Vilagarcía de Arousa;68CÑ;Pobra do Caramiñal, A;159
44PO;Vilagarcía de Arousa;72CÑ;Rianxo;227
44PO;Vilagarcía de Arousa;73CÑ;Ribeira;161
44PO;Vilagarcía de Arousa;77CÑ;Santiago de Compostela (distrito 02);40
44PO;Vilagarcía de Arousa;78CÑ;Santiago de Compostela (distrito 03);23
44PO;Vilagarcía de Arousa;79CÑ;Santiago de Compostela (distrito 04);78
44PO;Vilagarcía de Arousa;80CÑ;Santiago de Compostela (distrito 05);85
44PO;Vilagarcía de Arousa;OTRO;OTROS DESTINOS;1.059
44TA;Montblanc;06LL;Bellver de Cerdanya y otros municipios;22
44TA;Montblanc;14TA;Cambrils y Vinyols i els Arcs;21
44TA;Montblanc;19TA;Alforja y otros municipios;18
44TA;Montblanc;20TA;Vimbodí i Poblet y otros municipios;89
44TA;Montblanc;21TA;Espluga de Francolí, L' y otros municipios;139
44TA;Montblanc;22TA;Santa Coloma de Queralt y otros municipios;52
44TA;Montblanc;23TA;Pla de Santa Maria, El y otros municipios;56
44TA;Montblanc;44TA;Montblanc;4.712
44TA;Montblanc;54TA;Valls;81
44TA;Montblanc;71TA;Tarragona (distrito 07);27
44TA;Montblanc;OTRO;OTROS DESTINOS;506
44TF;San Cristóbal de La Laguna (distrito 04);01TF;Santa Cruz de Tenerife (distritos 07 y 08);47
44TF;San Cristóbal de La Laguna (distrito 04);02TF;Güímar y Fasnia;47
44TF;San Cristóbal de La Laguna (distrito 04);12TF;Adeje;31
44TF;San Cristóbal de La Laguna (distrito 04);13TF;Arafo;16
44TF;San Cristóbal de La Laguna (distrito 04);18TF;Candelaria;19
44TF;San Cristóbal de La Laguna (distrito 04);19TF;Granadilla de Abona;20
44TF;San Cristóbal de La Laguna (distrito 04);25TF;Orotava, La;17
44TF;San Cristóbal de La Laguna (distrito 04);27TF;Puerto de la Cruz;23
44TF;San Cristóbal de La Laguna (distrito 04);28TF;Realejos, Los;23
44TF;San Cristóbal de La Laguna (distrito 04);29TF;Rosario, El;70
44TF;San Cristóbal de La Laguna (distrito 04);34TF;Sauzal, El;16
44TF;San Cristóbal de La Laguna (distrito 04);36TF;Tacoronte;170
44TF;San Cristóbal de La Laguna (distrito 04);37TF;Tegueste;79
44TF;San Cristóbal de La Laguna (distrito 04);41TF;San Cristóbal de La Laguna (distrito 01);472
44TF;San Cristóbal de La Laguna (distrito 04);42TF;San Cristóbal de La Laguna (distrito 02);99
44TF;San Cristóbal de La Laguna (distrito 04);43TF;San Cristóbal de La Laguna (distrito 03);154
44TF;San Cristóbal de La Laguna (distrito 04);44TF;San Cristóbal de La Laguna (distrito 04);6.851
44TF;San Cristóbal de La Laguna (distrito 04);45TF;San Cristóbal de La Laguna (distrito 05);46
44TF;San Cristóbal de La Laguna (distrito 04);46TF;San Cristóbal de La Laguna (distrito 06);21
44TF;San Cristóbal de La Laguna (distrito 04);47TF;Santa Cruz de Tenerife (distrito 01);37
44TF;San Cristóbal de La Laguna (distrito 04);48TF;Santa Cruz de Tenerife (distrito 02);42
44TF;San Cristóbal de La Laguna (distrito 04);49TF;Santa Cruz de Tenerife (distrito 03);86
44TF;San Cristóbal de La Laguna (distrito 04);51TF;Santa Cruz de Tenerife (distrito 05);46
44TF;San Cristóbal de La Laguna (distrito 04);52TF;Santa Cruz de Tenerife (distrito 06);32
44TF;San Cristóbal de La Laguna (distrito 04);53TF;Santa Cruz de Tenerife (distrito 09);52
44TF;San Cristóbal de La Laguna (distrito 04);55TF;Santa Cruz de Tenerife (distrito 11);48
44TF;San Cristóbal de La Laguna (distrito 04);56TF;Santa Cruz de Tenerife (distrito 12);83
44TF;San Cristóbal de La Laguna (distrito 04);OTRO;OTROS DESTINOS;307
44TO;Belvís de la Jara y otros municipios;14CC;Peraleda de la Mata y otros municipios;38
44TO;Belvís de la Jara y otros municipios;31TO;Velada y otros municipios;23
44TO;Belvís de la Jara y otros municipios;33TO;Talavera de la Reina (distrito 02) y Pueblanueva, La;65
44TO;Belvís de la Jara y otros municipios;43TO;Lagartera y otros municipios;70
44TO;Belvís de la Jara y otros municipios;44TO;Belvís de la Jara y otros municipios;3.548
44TO;Belvís de la Jara y otros municipios;45TO;Alcaudete de la Jara y otros municipios;22
44TO;Belvís de la Jara y otros municipios;52TO;Calera y Chozas;71
44TO;Belvís de la Jara y otros municipios;71TO;Talavera de la Reina (distrito 01);25
44TO;Belvís de la Jara y otros municipios;OTRO;OTROS DESTINOS;275
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);01VA;Boecillo y Viana de Cega;53
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);06VA;Valladolid (SCD Pajarillos Altos - Las Flores) y Renedo de Esgueva;28
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);19VA;Arroyo de la Encomienda;184
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);23VA;Laguna de Duero;63
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);26VA;Simancas;39
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);30VA;Valladolid (SCD Centro - Universidad);335
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);31VA;Valladolid (SCD Paseo Zorrilla Bajo - Campo Grande);381
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);32VA;Valladolid (SCD Caño Argales);46
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);33VA;Valladolid (SCD Las Delicias);167
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);34VA;Valladolid (SCD Caamaño - Las Viudas);332
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);35VA;Valladolid (SCD Plaza Circular - Vadillos);59
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);36VA;Valladolid (SCD Pajarillos Bajos);26
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);37VA;Valladolid (SCD San Juan - Batallas - Pilarica);39
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);38VA;Valladolid (SCD Hospital - Barrio España - San Pedro Regalado);106
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);39VA;Valladolid (SCD Rondilla);67
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);40VA;Valladolid (SCD San Nicolás - San Miguel);39
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);41VA;Valladolid (SCD Canal de Castilla - La Overuela);180
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);42VA;Valladolid (SCD Huerta del Rey);287
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);43VA;Valladolid (SCD Parquesol - Arturo Eyries);376
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);10.486
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);45VA;Valladolid (SCD La Rubia - Covaresa - Puente Duero);982
44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);OTRO;OTROS DESTINOS;1.183
44ZA;Zuera;01ZA;Sádaba y otros municipios;25
44ZA;Zuera;02HS;Ayerbe y otros municipios;27
44ZA;Zuera;03HS;Almudévar y otros municipios;77
44ZA;Zuera;03ZA;San Mateo de Gállego y otros municipios;139
44ZA;Zuera;08HS;Sallent de Gállego y otros municipios;64
44ZA;Zuera;25ZA;Zaragoza (SCD Number 12) y otros municipios;46
44ZA;Zuera;43ZA;Villanueva de Gállego;129
44ZA;Zuera;44ZA;Zuera;5.259
44ZA;Zuera;57ZA;Zaragoza (SCD Number 4-B);23
44ZA;Zuera;69ZA;Zaragoza (SCD Number 9);50
44ZA;Zuera;73ZA;Zaragoza (SCD Number 10-D);27
44ZA;Zuera;75ZA;Zaragoza (SCD Number 11);138
44ZA;Zuera;OTRO;OTROS DESTINOS;750
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);02AL;Dalías y Balanegra;451
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);17AL;Almería (distritos 01 y 02);24
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);18AL;Adra;262
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);20AL;Berja;153
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);21AL;Carboneras;18
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);21GR;Polopos y otros municipios;19
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);22GR;Ugíjar y otros municipios;49
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);27AL;Níjar;77
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);33AL;Vícar;100
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);34AL;Mojonera, La;91
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);38AL;Almería (distrito 06);64
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);39AL;Almería (sección 037 y otras secciones del distrito 07);16
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);40AL;Almería (distrito 08);51
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);41AL;Roquetas de Mar (distrito 01);76
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);42AL;Roquetas de Mar (distrito 02);105
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);43AL;Ejido, El (sección 006 y otras secciones del distrito 01);1.364
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);44AL;Ejido, El (sección 012 y otras secciones del distrito 01);1.493
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);45AL;Ejido, El (sección 018 y otras secciones del distrito 01);15.902
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);48GR;Gualchos;16
45AL;Ejido, El (sección 018 y otras secciones del distrito 01);OTRO;OTROS DESTINOS;604
45AS;Oviedo (distrito 05);04AS;Tapia de Casariego y Castropol;17
45AS;Oviedo (distrito 05);06AS;Soto del Barco y Muros de Nalón;28
45AS;Oviedo (distrito 05);08AS;Corvera de Asturias e Illas;17
45AS;Oviedo (distrito 05);09AS;Grado y Regueras, Las;17
45AS;Oviedo (distrito 05);10AS;Morcín y otros municipios;17
45AS;Oviedo (distrito 05);11AS;Teverga y otros municipios;35
45AS;Oviedo (distrito 05);13AS;Nava y otros municipios;17
45AS;Oviedo (distrito 05);14AS;Colunga y Caravia;69
45AS;Oviedo (distrito 05);15AS;Caso y otros municipios;17
45AS;Oviedo (distrito 05);16AS;Cabrales y otros municipios;17
45AS;Oviedo (distrito 05);17AS;Aller;17
45AS;Oviedo (distrito 05);18AS;Cangas del Narcea;17
45AS;Oviedo (distrito 05);19AS;Cangas de Onís;31
45AS;Oviedo (distrito 05);20AS;Carreño;61
45AS;Oviedo (distrito 05);21AS;Castrillón;118
45AS;Oviedo (distrito 05);22AS;Cudillero;37
45AS;Oviedo (distrito 05);23AS;Gozón;121
45AS;Oviedo (distrito 05);24AS;Langreo;63
45AS;Oviedo (distrito 05);25AS;Laviana;17
45AS;Oviedo (distrito 05);26AS;Lena;17
45AS;Oviedo (distrito 05);27AS;Valdés;17
45AS;Oviedo (distrito 05);28AS;Llanera;188
45AS;Oviedo (distrito 05);29AS;Llanes;51
45AS;Oviedo (distrito 05);30AS;Mieres;40
45AS;Oviedo (distrito 05);31AS;Navia;17
45AS;Oviedo (distrito 05);32AS;Noreña;17
45AS;Oviedo (distrito 05);33AS;Parres;17
45AS;Oviedo (distrito 05);34AS;Piloña;17
45AS;Oviedo (distrito 05);35AS;Ribadesella;17
45AS;Oviedo (distrito 05);36AS;Salas;17
45AS;Oviedo (distrito 05);37AS;San Martín del Rey Aurelio;17
45AS;Oviedo (distrito 05);38AS;Tineo;17
45AS;Oviedo (distrito 05);39AS;Villaviciosa;121
45AS;Oviedo (distrito 05);40AS;Avilés (sección 028 y otras secciones del distrito 01);17
45AS;Oviedo (distrito 05);41AS;Oviedo (distrito 01);118
45AS;Oviedo (distrito 05);42AS;Oviedo (distrito 02);64
45AS;Oviedo (distrito 05);43AS;Oviedo (distrito 03);152
45AS;Oviedo (distrito 05);44AS;Oviedo (distrito 04);609
45AS;Oviedo (distrito 05);45AS;Oviedo (distrito 05);9.289
45AS;Oviedo (distrito 05);46AS;Oviedo (distrito 06);514
45AS;Oviedo (distrito 05);47AS;Oviedo (distrito 07);222
45AS;Oviedo (distrito 05);48AS;Oviedo (distrito 08);164
45AS;Oviedo (distrito 05);49AS;Oviedo (distrito 09);48
45AS;Oviedo (distrito 05);50AS;Oviedo (distrito 10);81
45AS;Oviedo (distrito 05);51AS;Oviedo (distrito 11);138
45AS;Oviedo (distrito 05);52AS;Oviedo (distrito 12);112
45AS;Oviedo (distrito 05);53AS;Oviedo (distritos 13 y 14);76
45AS;Oviedo (distrito 05);55AS;Oviedo (distrito 15);38
45AS;Oviedo (distrito 05);56AS;Oviedo (distrito 16);34
45AS;Oviedo (distrito 05);57AS;Siero;466
45AS;Oviedo (distrito 05);59AS;Gijón (SCD Ceares/Ciares);17
45AS;Oviedo (distrito 05);61AS;Gijón (SCD El Centro-Cimavilla);47
45AS;Oviedo (distrito 05);62AS;Gijón (SCD El Coto-Les Mestes-Viesques);17
45AS;Oviedo (distrito 05);63AS;Gijón (SCD El Llano);17
45AS;Oviedo (distrito 05);64AS;Gijón (SCD El Natahoyo-Moreda);31
45AS;Oviedo (distrito 05);65AS;Gijón (SCD El Polígono-Laviada);17
45AS;Oviedo (distrito 05);66AS;Gijón (SCD Jove-Veriña-Tremañes);28
45AS;Oviedo (distrito 05);67AS;Gijón (SCD L´Arena-Parque);17
45AS;Oviedo (distrito 05);68AS;Gijón (SCD La Calzada);17
45AS;Oviedo (distrito 05);71AS;Gijón (SCD Rural);123
45AS;Oviedo (distrito 05);72AS;Avilés (sección 036 y otras secciones del distrito 01);45
45AS;Oviedo (distrito 05);73AS;Avilés (sección 053 y otras secciones del distrito 01);17
45AS;Oviedo (distrito 05);OTRO;OTROS DESTINOS;445
45BA;Alburquerque;01BA;San Vicente de Alcántara y Codosera, La;138
45BA;Alburquerque;02BA;Badajoz (distrito 08) y otros municipios;190
